"Relatório de Faturamento"
Período;"2026-01-01 a 2026-12-31"
"Base temporal";due
Cliente;Todos
Status;Todos

Cliente;Documento;Descrição;Emissão;Vencimento;Status;"Valor Original";Juros;"Valor Atualizado";"Valor Pago"
"Leandro Casanova Guerra";522.924.759-04;"Ea ipsam quos ut quia.";16/02/2026;05/03/2026;Pendente;14.979,43;12.778,84;27.758,27;0,00
"Roberta Maldonado Jr.";254.559.188-49;"Voluptatum pariatur facilis veniam laboriosam.";06/02/2026;05/03/2026;Pendente;15.178,51;2.690,24;17.868,75;0,00
"Téo Corona";506.525.020-30;"Quaerat nam recusandae iusto.";08/01/2026;05/03/2026;Pendente;3.576,33;517,22;4.093,55;0,00
"Dayana Rico Marin Jr.";258.311.839-47;"Corrupti ipsam aliquam atque.";28/01/2026;05/03/2026;Pendente;15.812,67;7.939,16;23.751,83;0,00
"Dr. Simone Santos Ferreira Neto";250.734.274-27;"Consequuntur eveniet omnis voluptatibus odio.";25/01/2026;05/03/2026;Pendente;4.213,84;3.041,24;7.255,08;0,00
"Sr. Antônio Cruz Filho";791.318.101-75;"Dolorum quisquam non sed magni quasi.";27/01/2026;05/03/2026;Pendente;7.893,95;4.188,12;12.082,07;0,00
"Dr. Ivan Madeira Saito";692.460.183-52;"Odit placeat nesciunt.";20/01/2026;05/03/2026;Pendente;13.517,48;11.466,83;24.984,31;0,00
"Dr. Cíntia Regina Santos";054.593.867-42;"Illum voluptas eum nihil omnis.";07/01/2026;05/03/2026;Pendente;15.240,63;6.354,79;21.595,42;0,00
"Dr. Eduardo Wilson Ferminiano";728.384.194-49;"Omnis ratione aut aut.";10/01/2026;05/03/2026;Pendente;7.223,78;2.128,52;9.352,30;0,00
"Sra. Nathalia Valéria Montenegro Sobrinho";154.976.362-57;"Unde aliquid a et ullam.";04/02/2026;05/03/2026;Pendente;1.303,43;824,34;2.127,77;0,00
"Dr. Maísa Hortência Alves";443.061.162-29;"Atque in odio accusantium.";14/01/2026;05/03/2026;Pendente;7.113,91;659,82;7.773,73;0,00
"Sra. Kamila Paes Neto";503.654.786-48;"Fuga nulla quia nam fugiat eaque.";09/02/2026;05/03/2026;Pendente;10.665,80;4.521,24;15.187,04;0,00
"Srta. Natália Campos Filho";121.146.349-01;"Neque facilis eum tempore adipisci.";08/01/2026;05/03/2026;Pendente;8.576,34;2.152,78;10.729,12;0,00
"Antônio Vega Sobrinho";220.758.055-03;"Iusto nobis asperiores et non.";04/01/2026;05/03/2026;Pendente;7.091,58;2.407,91;9.499,49;0,00
"Estela Fidalgo Filho";828.776.211-90;"Voluptas soluta voluptates ut ex id.";04/02/2026;05/03/2026;Pendente;11.954,69;10.164,04;22.118,73;0,00
"Dr. Agostinho Lira Ortiz Sobrinho";499.644.224-00;"Provident non qui molestiae.";16/01/2026;05/03/2026;Pendente;10.050,76;1.788,03;11.838,79;0,00
"Srta. Sophie Fidalgo Vieira";669.687.979-77;"Aut voluptas nihil voluptatem reiciendis laudantium.";08/01/2026;05/03/2026;Pendente;10.497,23;8.466,36;18.963,59;0,00
"Jerônimo Diogo Prado";584.273.912-62;"In voluptatum accusamus libero et.";06/01/2026;05/03/2026;Pendente;8.721,06;4.085,71;12.806,77;0,00
"Sr. Jerônimo Carvalho Carvalho Neto";534.417.259-08;"Fugiat placeat quae distinctio voluptas.";11/01/2026;05/03/2026;Pendente;13.711,19;10.610,71;24.321,90;0,00
"Sr. Henrique Pedrosa Neto";379.376.105-67;"Et nesciunt maiores vel.";14/02/2026;05/03/2026;Pendente;12.517,16;4.677,37;17.194,53;0,00
"Sr. Horácio Gian Velasques Jr.";053.690.318-72;"Magnam sunt officia saepe voluptates cum.";31/01/2026;05/03/2026;Pendente;13.648,02;4.040,94;17.688,96;0,00
"Demian Gustavo Bonilha";987.254.931-50;"Et id porro voluptas laboriosam.";13/01/2026;05/03/2026;Pendente;15.250,51;8.481,38;23.731,89;0,00
"Jerônimo Diogo Prado";584.273.912-62;"Aut quaerat nulla rerum molestiae.";07/01/2026;05/03/2026;Pendente;11.174,51;9.404,46;20.578,97;0,00
"Joana Maia Mendonça Filho";802.875.572-90;"Accusantium voluptatibus at et accusamus.";13/01/2026;05/03/2026;Pendente;4.304,74;2.164,78;6.469,52;0,00
"Ícaro Grego Jr.";290.896.321-46;"Quas iste voluptatem.";07/01/2026;05/03/2026;Pendente;9.028,08;4.834,30;13.862,38;0,00
"Alma Cordeiro Beltrão";084.229.639-29;"Blanditiis voluptate illum et.";03/02/2026;05/03/2026;Pendente;10.425,48;5.772,02;16.197,50;0,00
"Dr. Ayla Fonseca";307.401.315-05;"Suscipit pariatur voluptatum eligendi.";06/01/2026;05/03/2026;Pendente;14.577,33;3.852,15;18.429,48;0,00
"Dr. Karine Duarte Tamoio";851.969.902-08;"Atque natus rerum culpa.";08/02/2026;05/03/2026;Pendente;1.899,87;687,23;2.587,10;0,00
"Cristiana Domingues";062.292.769-55;"Suscipit quis quas quos.";14/02/2026;05/03/2026;Pendente;1.474,14;169,94;1.644,08;0,00
"Dr. Kamila das Dores Cervantes Neto";945.278.799-50;"Quam dicta animi consequatur.";04/02/2026;05/03/2026;Pendente;14.967,82;4.293,09;19.260,91;0,00
"Dr. Noelí Julieta Chaves";406.120.734-00;"Explicabo commodi qui ducimus.";08/02/2026;05/03/2026;Pendente;19.639,18;8.370,59;28.009,77;0,00
"Dr. Maitê Valência Filho";870.158.803-75;"Culpa eaque rerum sint.";29/01/2026;05/03/2026;Pendente;17.596,43;2.510,84;20.107,27;0,00
"Srta. Isadora de Arruda";641.741.441-52;"Qui sit reiciendis dolor adipisci.";16/01/2026;05/03/2026;Pendente;17.778,00;5.162,32;22.940,32;0,00
"Srta. Norma Santana Leon Filho";416.396.083-93;"Nihil architecto dicta dolores ex est.";14/01/2026;05/03/2026;Pendente;14.324,05;2.034,68;16.358,73;0,00
"Dener Galindo Jr.";965.931.044-86;"Tempora eum qui recusandae consequatur.";12/02/2026;05/03/2026;Pendente;5.244,34;3.212,96;8.457,30;0,00
"Sra. Gisele Souza";911.635.812-39;"Quia quis deserunt ipsum.";05/01/2026;05/03/2026;Pendente;8.808,95;5.246,68;14.055,63;0,00
"Michelle Maiara Soto Sobrinho";359.253.864-01;"Impedit consectetur perspiciatis et consequatur veniam.";22/01/2026;05/03/2026;Pendente;12.257,96;9.192,57;21.450,53;0,00
"Ian Duarte Delatorre";158.081.596-17;"Illo eum harum aut velit.";19/01/2026;05/03/2026;Pendente;13.987,81;11.559,07;25.546,88;0,00
"Amanda Leal Padilha";971.424.467-50;"In debitis repellat quae.";04/01/2026;05/03/2026;Pendente;4.086,06;596,21;4.682,27;0,00
"Erik Souza Jr.";780.305.228-56;"Non voluptatibus nesciunt ad maxime.";04/02/2026;05/03/2026;Pendente;13.964,74;10.781,07;24.745,81;0,00
"Sr. Vinícius Santacruz";490.949.387-80;"Consequuntur necessitatibus optio.";08/01/2026;05/03/2026;Pendente;13.562,95;6.853,46;20.416,41;0,00
"Dr. Wagner Paz Jr.";876.061.465-66;"Consequuntur voluptates odit totam.";14/02/2026;05/03/2026;Pendente;19.088,61;2.272,90;21.361,51;0,00
"Dr. Sarah Talita Vega";503.977.806-62;"Consequatur delectus deleniti vitae rem perferendis.";08/02/2026;05/03/2026;Pendente;9.266,94;2.553,02;11.819,96;0,00
"Sra. Sara Deverso Franco";182.515.016-48;"Consequatur commodi quia dolorem.";16/01/2026;05/03/2026;Pendente;15.733,33;11.640,73;27.374,06;0,00
"Dr. Renan Danilo Santana Neto";221.951.822-22;"Officia iste qui accusantium.";21/01/2026;05/03/2026;Pendente;17.116,81;14.470,96;31.587,77;0,00
"Dr. Eduardo Wilson Ferminiano";728.384.194-49;"Numquam velit soluta quasi.";10/02/2026;05/03/2026;Pendente;11.691,92;6.088,40;17.780,32;0,00
"James Jonas Serna Neto";714.455.948-52;"Et sed odit animi.";01/02/2026;05/03/2026;Pendente;18.077,30;7.468,13;25.545,43;0,00
"Gabrielly Barros";370.954.984-99;"Similique eum sunt.";30/01/2026;05/03/2026;Pendente;15.681,91;14.154,51;29.836,42;0,00
"Srta. Alexa Jimenes Jr.";218.993.265-02;"Nihil pariatur id consectetur ut.";04/02/2026;05/03/2026;Pendente;5.271,65;3.117,50;8.389,15;0,00
"Dr. Irene Gusmão Grego Filho";113.123.534-92;"Cupiditate non minima doloremque reiciendis dolorum.";14/01/2026;05/03/2026;Pendente;12.163,60;7.420,85;19.584,45;0,00
"Srta. Sueli Assunção Jr.";159.312.359-63;"Autem magnam libero non.";29/01/2026;05/03/2026;Pendente;7.106,32;3.442,33;10.548,65;0,00
"Srta. Verônica Rocha das Dores";824.766.699-32;"Totam beatae modi numquam.";30/01/2026;05/03/2026;Pendente;3.869,62;629,96;4.499,58;0,00
"Elaine Brito Filho";660.279.861-95;"Quam sit doloribus asperiores perspiciatis.";05/02/2026;05/03/2026;Pendente;16.351,19;12.068,08;28.419,27;0,00
"Dr. Fabiana Ferraz Neto";071.306.605-66;"Aut fuga illum voluptas voluptatem.";12/02/2026;05/03/2026;Pendente;4.961,49;958,40;5.919,89;0,00
"Sr. Joaquim Soares";268.006.414-93;"Quidem est et laudantium.";03/02/2026;05/03/2026;Pendente;18.520,38;10.500,55;29.020,93;0,00
"Lilian Nicole de Freitas Neto";897.390.813-28;"Excepturi labore veritatis qui id.";22/01/2026;05/03/2026;Pendente;19.649,17;7.757,53;27.406,70;0,00
"Mia Valéria Gil Sobrinho";091.288.721-07;"Laboriosam eius aliquid illo.";28/01/2026;05/03/2026;Pendente;2.496,80;1.093,24;3.590,04;0,00
"Betina Uchoa Sobrinho";577.798.584-53;"A dolorum iure sit.";18/02/2026;05/03/2026;Pendente;111,61;44,49;156,10;0,00
"Dr. Pedro Abreu Quintana Filho";111.750.616-68;"Veniam quos similique.";10/01/2026;05/03/2026;Pendente;10.117,93;3.667,43;13.785,36;0,00
"Matheus Gil Sobrinho";927.111.276-28;"Voluptas doloribus ut adipisci quis explicabo.";31/01/2026;05/03/2026;Pendente;12.563,72;7.568,48;20.132,20;0,00
"Alice Valéria Bittencourt";104.129.278-76;"Eius dolorum et.";14/01/2026;05/03/2026;Pendente;7.927,94;5.621,82;13.549,76;0,00
"Joyce Ferminiano Lozano";005.792.341-73;"Aspernatur id culpa consequuntur consequatur.";14/01/2026;05/03/2026;Pendente;10.804,25;868,64;11.672,89;0,00
"Sra. Daiane Faro";470.142.485-09;"Laboriosam quis soluta similique rem nihil.";23/01/2026;05/03/2026;Pendente;11.856,95;6.145,35;18.002,30;0,00
"Srta. Cristiana Salgado";943.966.018-09;"Similique aut quia quae consequatur sit.";15/02/2026;05/03/2026;Pendente;8.405,08;1.096,95;9.502,03;0,00
"Antônio Vega Sobrinho";220.758.055-03;"Quae atque quae id.";25/01/2026;05/03/2026;Pendente;10.564,18;3.030,03;13.594,21;0,00
"Marcos D'ávila";336.987.105-09;"Fugiat quo natus perferendis.";31/01/2026;05/03/2026;Pendente;7.437,17;736,06;8.173,23;0,00
"Samuel Emiliano Delgado";272.505.519-18;"Impedit dolor magni asperiores ratione.";11/01/2026;05/03/2026;Pendente;13.549,43;1.510,73;15.060,16;0,00
"Simão Arruda Neto";640.619.006-36;"Numquam omnis iure repudiandae atque.";05/02/2026;05/03/2026;Pendente;10.836,25;2.085,98;12.922,23;0,00
"Dr. Rodrigo de Aguiar de Souza";052.296.263-34;"Fuga inventore harum vitae.";11/01/2026;05/03/2026;Pendente;19.265,38;2.172,31;21.437,69;0,00
"Dr. Thomas Dante Rico";252.426.183-80;"Est animi quos laborum.";30/01/2026;05/03/2026;Pendente;2.943,81;2.712,20;5.656,01;0,00
"Stephany Jaqueline Rosa";351.723.939-39;"Dolor natus quos dolor repellendus.";15/01/2026;05/03/2026;Pendente;17.253,77;2.054,42;19.308,19;0,00
"Srta. Késia Ayla Carvalho Filho";006.613.045-35;"Deleniti quia odio.";09/02/2026;05/03/2026;Pendente;3.575,42;1.148,75;4.724,17;0,00
"Sr. Inácio Sergio Dominato";644.561.726-83;"Sit enim distinctio.";04/01/2026;05/03/2026;Pendente;18.893,55;7.116,79;26.010,34;0,00
"Dr. Horácio Alonso Colaço Jr.";669.012.885-79;"Quisquam excepturi voluptatem sapiente.";14/01/2026;05/03/2026;Pendente;19.916,81;17.182,53;37.099,34;0,00
"Srta. Samara Ferreira";564.972.450-43;"Unde at necessitatibus et.";10/01/2026;05/03/2026;Pendente;14.480,53;8.760,20;23.240,73;0,00
"Valéria Carla Delvalle";433.428.885-84;"Magni quis qui quasi dolor.";10/01/2026;05/03/2026;Pendente;2.835,50;1.924,75;4.760,25;0,00
"Sr. Simão Pacheco de Aguiar";004.766.979-61;"Nulla tempora animi eos molestiae aperiam.";13/02/2026;05/03/2026;Pago;533,57;0,00;533,57;8.508,14
"Srta. Marisa Juliane Romero Neto";550.784.186-95;"Qui nisi odio omnis consequatur omnis.";15/02/2026;05/03/2026;Pago;15.255,08;0,00;15.255,08;13.255,70
"Sra. Ingrid Sara Azevedo Neto";901.521.044-03;"Rerum eum numquam eos.";05/02/2026;05/03/2026;Pago;17.136,99;0,00;17.136,99;1.012,03
"Alícia Matos";124.314.448-18;"Iste aut magnam mollitia.";09/01/2026;05/03/2026;Pago;6.842,09;0,00;6.842,09;18.549,41
"Mel Flores Valente Sobrinho";178.646.616-61;"Quasi eos recusandae quo enim sed.";12/02/2026;05/03/2026;Pago;6.372,69;0,00;6.372,69;13.109,02
"Sra. Lidiane Larissa Bonilha";219.977.669-66;"Et repellendus cumque ut.";11/02/2026;05/03/2026;Pago;19.990,81;0,00;19.990,81;14.165,17
"Eduarda Lovato Godói Sobrinho";423.451.175-92;"Aut aliquam ullam ex.";17/01/2026;05/03/2026;Pago;14.547,84;0,00;14.547,84;12.229,84
"Joaquin Sepúlveda Sobrinho";417.484.829-96;"Nihil odit velit hic amet.";23/01/2026;05/03/2026;Pago;11.615,71;0,00;11.615,71;10.910,93
"Matias Ramires Oliveira Jr.";943.227.680-23;"Voluptas ut mollitia voluptatem doloremque sed.";15/01/2026;05/03/2026;Pago;16.232,98;0,00;16.232,98;1.126,78
"Sr. João Sepúlveda Benez";322.234.286-63;"Rerum quia necessitatibus error est.";06/01/2026;05/03/2026;Pago;4.602,68;0,00;4.602,68;8.020,22
"Sra. Tatiane Karine Vila Jr.";749.327.949-37;"Neque ea totam repudiandae.";12/01/2026;05/03/2026;Pago;14.682,87;0,00;14.682,87;9.939,59
"Regina Gil";109.341.116-71;"Dolorem ut maiores et porro.";12/02/2026;05/03/2026;Pago;13.792,16;0,00;13.792,16;12.888,50
"Dr. Benício Arruda Fontes";288.117.499-43;"Adipisci fugiat omnis qui.";14/02/2026;05/03/2026;Pago;19.295,97;0,00;19.295,97;3.876,98
"Agostinho de Souza";887.656.479-86;"Ipsa quam veniam.";06/01/2026;05/03/2026;Pago;8.203,37;0,00;8.203,37;11.650,08
"Sr. Jean Artur Paz Sobrinho";671.258.967-51;"Recusandae voluptas aperiam quas inventore.";25/01/2026;05/03/2026;Pago;12.372,08;0,00;12.372,08;5.302,26
"Dr. Thomas Dante Rico";252.426.183-80;"Facere tempora aliquid nemo.";16/01/2026;05/03/2026;Pago;19.993,98;0,00;19.993,98;17.647,19
"Sra. Lorena Franco";024.966.564-29;"Sed doloremque aspernatur.";18/01/2026;05/03/2026;Pago;17.635,47;0,00;17.635,47;6.365,00
"Sr. André Santiago Serrano";605.938.222-16;"Error quo odit possimus dicta.";30/01/2026;05/03/2026;Pago;2.191,10;0,00;2.191,10;8.961,80
"Yohanna Aparecida Galvão Sobrinho";162.242.842-22;"Rerum deleniti repudiandae eaque maxime.";14/02/2026;05/03/2026;Pago;18.090,04;0,00;18.090,04;11.873,27
"Demian Gustavo Bonilha";987.254.931-50;"Consequatur qui dicta veniam labore.";15/02/2026;05/03/2026;Pago;15.195,17;0,00;15.195,17;19.288,98
"Milena Correia Rios";958.649.682-72;"Nihil voluptatem nesciunt.";12/02/2026;05/03/2026;Pago;5.914,93;0,00;5.914,93;8.486,51
"Cristian Rodolfo de Freitas Filho";415.519.196-74;"Et voluptatem quidem quo modi.";13/02/2026;05/03/2026;Pago;19.676,75;0,00;19.676,75;1.576,16
"Horácio Godói Neto";811.518.248-46;"Dolore consequuntur non.";03/02/2026;05/03/2026;Pago;12.520,50;0,00;12.520,50;9.507,33
"Taís Paz Barros";782.362.107-67;"Perferendis quas aliquid.";14/02/2026;05/03/2026;Pago;8.601,84;0,00;8.601,84;13.922,60
"Luis William Aragão";963.123.945-84;"Aut quo delectus quisquam.";18/01/2026;05/03/2026;Pago;14.656,30;0,00;14.656,30;8.002,75
"Jerônimo Pena Zamana Filho";415.975.216-12;"Rem doloribus quia sed facilis.";13/02/2026;05/03/2026;Pago;18.200,10;0,00;18.200,10;18.217,37
"Gabriela Jimenes Quintana Neto";660.970.722-55;"Magni exercitationem aut labore ut.";14/02/2026;05/03/2026;Pago;14.776,22;0,00;14.776,22;15.326,21
"Dr. Renan Mendonça";312.420.757-66;"Voluptas impedit in delectus molestiae autem.";16/01/2026;05/03/2026;Pago;7.243,71;0,00;7.243,71;6.736,58
"Sr. Giovane Carvalho Filho";625.223.277-62;"Iure consequuntur animi ad aut.";16/01/2026;05/03/2026;Pago;6.714,12;0,00;6.714,12;6.061,66
"Dr. Raquel Verônica Serrano";910.133.019-05;"Dignissimos fugit id non perspiciatis.";29/01/2026;05/03/2026;Pago;6.402,32;0,00;6.402,32;4.498,90
"Juliano Roque de Aguiar";660.929.503-99;"Reprehenderit et consequatur aut qui.";03/02/2026;05/03/2026;Pendente;19.827,05;3.318,56;23.145,61;0,00
"Thalia Ortiz Benites Sobrinho";742.687.754-11;"Enim omnis ratione minus.";31/01/2026;05/03/2026;Pendente;9.322,09;4.103,54;13.425,63;0,00
"Vanessa Vila";157.884.294-63;"Consequatur magnam quae esse.";07/01/2026;05/03/2026;Pendente;13.027,24;1.592,44;14.619,68;0,00
"Jefferson Maldonado Sobrinho";466.822.476-62;"Maiores in iste.";07/02/2026;05/03/2026;Pendente;165,08;27,96;193,04;0,00
"Franciele Catarina Delvalle Filho";464.072.526-83;"Consectetur nihil voluptatem quis non voluptatibus.";16/02/2026;05/03/2026;Pendente;9.318,19;4.844,72;14.162,91;0,00
"Sra. Cristina Daiane Fontes";772.833.256-71;"Libero omnis inventore et quasi aut.";10/02/2026;05/03/2026;Pendente;17.137,15;10.616,69;27.753,84;0,00
"Dr. Cristiano Soto Filho";146.648.215-51;"Autem aperiam ullam deleniti.";09/01/2026;05/03/2026;Pendente;14.778,38;11.891,48;26.669,86;0,00
"Yohanna Aparecida Galvão Sobrinho";162.242.842-22;"Est voluptates qui unde sed.";04/02/2026;05/03/2026;Pendente;15.628,89;4.042,67;19.671,56;0,00
"Dr. Isis Cynthia Santacruz";497.500.409-93;"Voluptatem dicta qui.";07/02/2026;05/03/2026;Pendente;17.183,07;3.273,38;20.456,45;0,00
"Sra. Norma Liz das Dores";349.010.977-02;"Voluptatum qui tempore et eius corrupti.";21/01/2026;05/03/2026;Pago;4.240,27;0,00;4.240,27;1.023,55
"Sra. Tábata Ávila Filho";986.069.768-00;"Excepturi id maiores eum.";27/01/2026;05/03/2026;Pago;5.429,22;0,00;5.429,22;2.332,28
"Alana Arruda D'ávila";948.493.125-58;"Cupiditate et ut sit rem illum.";29/01/2026;05/03/2026;Pago;13.399,13;0,00;13.399,13;6.225,81
"Juliana Paulina Vieira";070.205.236-48;"Autem id eum temporibus.";23/01/2026;05/03/2026;Pago;3.575,16;0,00;3.575,16;11.913,79
"Dr. Gilberto Salgado Neto";539.485.143-09;"Dolore rem amet aspernatur.";13/01/2026;05/03/2026;Pago;2.666,56;0,00;2.666,56;19.233,81
"César Vale Neto";145.313.270-31;"Eum natus voluptatibus saepe.";06/01/2026;05/03/2026;Pago;13.309,39;0,00;13.309,39;15.276,92
"Dr. Laura Valdez Pontes Filho";267.571.619-60;"Vitae dolorem rerum modi.";20/01/2026;05/03/2026;Pago;18.658,02;0,00;18.658,02;4.190,94
"Cláudio de Arruda Escobar";637.542.504-59;"Assumenda repudiandae ea eligendi.";04/02/2026;05/03/2026;Pago;3.445,57;0,00;3.445,57;11.221,90
"Paulo Sepúlveda Salazar";418.122.268-91;"Autem eos nobis repellat.";02/02/2026;05/03/2026;Pago;17.372,41;0,00;17.372,41;4.375,74
"Dr. Manoela Verônica Delvalle Filho";456.467.436-86;"In id omnis.";08/02/2026;05/03/2026;Pago;11.763,23;0,00;11.763,23;9.691,17
"Ícaro Vega Jr.";828.366.488-54;"Eos nobis qui id vitae debitis.";28/01/2026;05/03/2026;Pago;4.001,69;0,00;4.001,69;5.346,30
"Cristian Rodolfo de Freitas Filho";415.519.196-74;"Voluptatem doloremque sapiente commodi quia.";06/02/2026;05/03/2026;Pago;1.499,05;0,00;1.499,05;1.191,25
"Dr. Alessandro Rangel Neto";114.403.713-01;"Non porro enim est consequatur.";07/02/2026;05/03/2026;Pago;10.289,07;0,00;10.289,07;304,06
"Violeta Taís Delvalle Filho";521.979.062-31;"Porro placeat iure.";08/02/2026;05/03/2026;Pago;2.130,08;0,00;2.130,08;12.373,70
"Alan Erik Vale";726.183.396-27;"Qui doloremque aut aut omnis est.";01/02/2026;05/03/2026;Pago;14.238,98;0,00;14.238,98;13.327,46
"Júlio Guilherme Benites";758.597.948-93;"Ut voluptatem omnis omnis veritatis.";07/02/2026;06/03/2026;Pago;7.429,56;0,00;7.429,56;10.521,07
"Dr. Aparecida Quintana";839.670.353-12;"Quo sunt at.";18/02/2026;06/03/2026;Pago;4.670,59;0,00;4.670,59;15.092,83
"Vanessa Vila";157.884.294-63;"Tempora ullam voluptatem atque.";10/02/2026;06/03/2026;Pago;9.934,80;0,00;9.934,80;18.994,74
"Dr. Isaac Guilherme Neves Jr.";304.866.411-91;"Possimus natus officia non aut officia.";19/02/2026;06/03/2026;Pago;119,47;0,00;119,47;16.218,09
"Sr. Mateus Thales Mendonça Sobrinho";505.727.421-32;"Reprehenderit eligendi qui aliquam itaque.";12/02/2026;06/03/2026;Pago;10.762,89;0,00;10.762,89;12.702,23
"Joaquin Souza";848.278.015-24;"Molestias ipsa omnis.";17/01/2026;06/03/2026;Pago;12.428,42;0,00;12.428,42;13.382,76
"Adriano Filipe Aragão";398.012.097-19;"Architecto eligendi nobis veniam.";20/01/2026;06/03/2026;Pago;2.658,09;0,00;2.658,09;13.856,83
"Dr. Pâmela Ortega Medina";218.812.419-65;"Enim vel ut.";14/01/2026;06/03/2026;Pago;13.503,02;0,00;13.503,02;18.371,06
"Srta. Amanda Rayane Santana Neto";778.053.009-87;"Molestiae quasi modi inventore suscipit ducimus.";17/01/2026;06/03/2026;Pago;12.409,51;0,00;12.409,51;10.238,46
"Dr. Caio Wagner Correia Sobrinho";355.489.626-75;"Pariatur quia doloremque libero.";25/01/2026;06/03/2026;Pago;7.082,28;0,00;7.082,28;14.364,77
"Maya Benez Feliciano Filho";253.955.834-76;"Soluta magnam ab nihil sunt sapiente.";21/01/2026;06/03/2026;Pago;11.304,86;0,00;11.304,86;6.304,25
"Valentina Carmona Carvalho Filho";520.307.611-67;"Accusantium quo ipsa.";30/01/2026;06/03/2026;Pago;17.974,29;0,00;17.974,29;5.798,55
"Ítalo Edson Ávila";158.788.341-05;"Amet vel dolores.";13/02/2026;06/03/2026;Pago;6.567,96;0,00;6.567,96;17.964,11
"Benjamin Soares Furtado Filho";892.918.755-47;"Repellendus ratione alias impedit.";08/01/2026;06/03/2026;Pago;2.801,45;0,00;2.801,45;12.887,22
"Sra. Stefany Rezende Gil";815.978.653-64;"Ex quam dicta amet.";17/02/2026;06/03/2026;Pago;19.739,41;0,00;19.739,41;2.934,66
"Sarah Galvão Ávila Neto";757.753.599-43;"Dolores non dicta.";07/02/2026;06/03/2026;Pago;2.753,71;0,00;2.753,71;12.052,21
"Sra. Cristina Uchoa Neto";650.029.830-40;"Sit quia similique error quae dolores.";15/01/2026;06/03/2026;Pago;17.148,00;0,00;17.148,00;19.765,38
"Cláudia Solano Neto";658.584.741-84;"Consectetur ab rem sit in.";10/01/2026;06/03/2026;Pago;4.036,63;0,00;4.036,63;11.847,81
"Dr. Daiana Serra Sobrinho";790.549.126-30;"Voluptatum consequatur quae consectetur ut.";05/01/2026;06/03/2026;Pago;16.686,33;0,00;16.686,33;9.328,89
"Sra. Eloá Valdez Fonseca";968.100.487-45;"Ipsam omnis voluptas doloribus accusamus.";18/01/2026;06/03/2026;Pendente;4.846,64;2.812,98;7.659,62;0,00
"Ornela Catarina Velasques";224.272.730-08;"Blanditiis eum officiis sapiente est officia.";05/02/2026;06/03/2026;Pendente;1.738,15;1.064,53;2.802,68;0,00
"Dr. Aline Duarte";521.290.322-05;"Et corrupti eum quam.";05/02/2026;06/03/2026;Pendente;13.685,40;12.349,09;26.034,49;0,00
"Sabrina Dias D'ávila";342.102.473-96;"Iure asperiores aperiam facere.";19/01/2026;06/03/2026;Pendente;13.807,52;2.359,65;16.167,17;0,00
"Reinaldo Soto";957.951.876-22;"Dolor odit beatae placeat iure.";26/01/2026;06/03/2026;Pendente;5.277,94;4.303,23;9.581,17;0,00
"Sr. Aaron Victor Batista Jr.";356.342.479-59;"Et possimus dolor ut.";23/01/2026;06/03/2026;Pendente;9.239,90;1.233,70;10.473,60;0,00
"Srta. Clarice da Silva Santacruz";764.823.348-54;"Facilis distinctio aut quo.";10/01/2026;06/03/2026;Pendente;8.464,00;2.081,76;10.545,76;0,00
"Téo Márcio Pena Sobrinho";989.121.710-56;"Autem quis enim quibusdam delectus.";04/02/2026;06/03/2026;Pendente;11.376,94;6.803,94;18.180,88;0,00
"Alana Sandoval de Arruda Filho";269.118.670-42;"Magnam non dolores.";12/02/2026;06/03/2026;Pendente;9.509,40;2.009,32;11.518,72;0,00
"Sr. Mateus Thales Mendonça Sobrinho";505.727.421-32;"Veritatis sapiente omnis dolorum quia assumenda.";21/01/2026;06/03/2026;Pendente;14.879,89;3.114,13;17.994,02;0,00
"Srta. Stephanie Ramires Cordeiro";428.847.418-89;"Qui fuga quas laborum eos consectetur.";31/01/2026;06/03/2026;Pendente;134,01;50,04;184,05;0,00
"Srta. Marta Micaela Fontes Sobrinho";415.499.869-98;"Eos aut odit voluptatem.";23/01/2026;06/03/2026;Pago;6.132,24;0,00;6.132,24;5.316,37
"Melinda Regiane Campos Jr.";971.637.976-11;"Non quis cumque culpa in.";19/01/2026;06/03/2026;Pago;9.391,96;0,00;9.391,96;9.510,11
"Alexandre Galindo";219.210.077-45;"Aut voluptate maxime quo.";28/01/2026;06/03/2026;Pago;11.094,53;0,00;11.094,53;4.690,95
"Dr. Mateus Rodrigo Arruda";960.670.593-92;"Facere blanditiis voluptatem non.";09/01/2026;06/03/2026;Pago;18.582,42;0,00;18.582,42;15.532,68
"Daiana Mila Estrada";976.300.345-13;"Voluptas laboriosam qui quibusdam autem ratione.";22/01/2026;06/03/2026;Pago;927,41;0,00;927,41;1.018,29
"Allan Rico Ferraz";332.502.932-73;"Dolorem aspernatur vero.";30/01/2026;06/03/2026;Pago;7.064,78;0,00;7.064,78;19.723,93
"Karina Bittencourt Tamoio Filho";426.286.774-79;"Laudantium blanditiis atque eius quae.";07/01/2026;06/03/2026;Pago;6.577,39;0,00;6.577,39;5.867,43
"Luis William Aragão";963.123.945-84;"Ea consequatur sapiente ratione.";10/01/2026;06/03/2026;Pago;19.420,33;0,00;19.420,33;17.438,98
"Kléber Burgos Neto";289.933.500-74;"Aut qui nostrum.";15/02/2026;06/03/2026;Pago;9.631,33;0,00;9.631,33;2.330,41
"Sr. Marco Renato Fidalgo";396.357.747-34;"Nostrum assumenda libero sed.";09/01/2026;06/03/2026;Pago;19.275,35;0,00;19.275,35;982,54
